#Position (bp)	insert size	chromosomes
6.590042805E8	49819.43508056735	664084.2824987323
6.642138005E8	44495.47080133169	0.0
6.694233205E8	46443.44297520661	0.0
6.746328405E8	44227.72943312123	664084.2824987323
6.798423605E8	23287.777958036335	0.0
6.850518805E8	20109.60338435039	0.0
6.902614005E8	24977.233859233373	664084.2824987323
6.954709205E8	25186.081292566607	0.0
7.006804405E8	20368.569249381937	0.0
7.058899605E8	19624.279757814078	664084.2824987323
7.110994805E8	21416.46194836638	0.0
7.163090005E8	15168.390544363318	0.0
7.215185205E8	13330.259314652014	664084.2824987323
7.267280405E8	16313.704299368026	0.0
7.319375605E8	15503.940391085645	0.0
7.371470805E8	13017.753397746505	664084.2824987323
7.423566005E8	11363.062458779315	0.0
7.475661205E8	12559.868536808033	0.0
7.527756405E8	10650.714658848614	664084.2824987323
7.579851605E8	8341.383995898894	0.0
7.631946805E8	8292.831589327336	0.0
7.684042005E8	6285.094768675788	664084.2824987323
7.736137205E8	4079.0395080963776	0.0
7.788232405E8	2803.813929073706	0.0
7.840327605E8	1540.7394212944305	664084.2824987323
7.892422805E8	661.2676371608322	0.0
7.93090927E8	292.66828907469613	0.0
7.95695687E8	87340.94480448529	664084.2824987323
7.996613205E8	167471.9618984511	0.0
8.048708405E8	113882.76453470095	0.0
8.100803605E8	177930.9852219578	664084.2824987323
8.152898805E8	97761.16716554634	0.0
8.204994005E8	60302.738665600045	0.0
8.257089205E8	64607.14567241814	664084.2824987323
8.309184405E8	43987.770925549856	0.0
8.361279605E8	50630.57571414497	0.0
8.413374805E8	49406.04095964541	664084.2824987323
8.465470005E8	33020.68778250784	0.0
8.517565205E8	31372.91527713591	0.0
8.569660405E8	42510.829239668186	664084.2824987323
8.621755605E8	33021.212072483315	0.0
8.673850805E8	29760.096278044508	0.0
8.725946005E8	26472.432744656304	664084.2824987323
8.778041205E8	24883.300569226656	0.0
8.830136405E8	23678.403121870862	0.0
8.882231605E8	24591.445430298314	664084.2824987323
8.934326805E8	22981.923021961626	0.0
8.986422005E8	14008.884415860317	0.0
9.038517205E8	13073.84514569075	664084.2824987323
9.090612405E8	12051.303886814174	0.0
9.142707605E8	15346.497912412564	0.0
9.194802805E8	11452.348080996391	664084.2824987323
9.246898005E8	5471.7675170696675	0.0
9.298993205E8	7729.046385863982	0.0
9.351088405E8	7844.38854592431	664084.2824987323
9.403183605E8	7572.535940968075	0.0
9.455278805E8	4993.966991851809	0.0
9.507374005E8	3993.675242248586	664084.2824987323
9.559469205E8	3617.5004266223386	0.0
9.611564405E8	3062.956383700696	0.0
9.663659605E8	2659.112233634222	664084.2824987323
9.715754805E8	1439.3775765385974	0.0
9.767850005E8	1499.6430998435646	0.0
9.819945205E8	1070.4107496672864	664084.2824987323
9.872040405E8	796.9130925987624	0.0
9.924135605E8	880.2459691309324	0.0
9.976230805E8	544.0633129765223	664084.2824987323
1.0028326005E9	512.8271811979321	0.0
1.0080421205E9	357.96210805119114	0.0
1.0132516405E9	309.81238442597254	664084.2824987323
1.015976029E9	277.7589878297092	0.0
1.018580789E9	35609.3858653149	0.0
1.0236706805E9	37202.42819911542	664084.2824987323
1.0288802005E9	38370.45956984272	0.0
1.0340897205E9	32691.07786108351	0.0
1.0392992405E9	31658.64630672252	664084.2824987323
1.0445087605E9	23261.132289137513	0.0
1.0497182805E9	29813.16932648139	0.0
1.0549278005E9	16449.302644620373	664084.2824987323
1.0601373205E9	34111.39795238613	0.0
1.0653468405E9	28836.65871181941	0.0
1.0705563605E9	28036.82280625317	664084.2824987323
1.0757658805E9	27998.75934912356	0.0
1.0809754005E9	19480.984853316546	0.0
1.0861849205E9	18999.63513843442	664084.2824987323
1.0913944405E9	12558.582580778402	0.0
1.0966039605E9	13809.96542476813	0.0
1.1018134805E9	13910.665598786733	664084.2824987323
1.1070230005E9	9361.954574632036	0.0
1.1122325205E9	8963.07024928265	0.0
1.1174420405E9	13913.77148442669	664084.2824987323
1.1226515605E9	6007.573915859218	0.0
1.1278610805E9	8365.864236213061	0.0
1.1330706005E9	14388.765528080981	664084.2824987323
1.1382801205E9	8657.189526360566	0.0
1.1434896405E9	9958.235736924793	0.0
1.1486991605E9	8790.370627165583	664084.2824987323
1.1539086805E9	11177.651402678679	0.0
1.1591182005E9	8108.31468763707	0.0
1.1643277205E9	9257.13077424082	664084.2824987323
1.1695372405E9	4070.207731825469	0.0
1.1747467605E9	3651.6339713233237	0.0
1.1799562805E9	2121.8339400434393	664084.2824987323
1.1851658005E9	1299.045098968715	0.0
1.1903753205E9	616.1876905938087	0.0
1.194137444E9	296.0118019188869	664084.2824987323
1.196742204E9	290.45226557935433	0.0
