#Position (bp)	insert size	chromosomes
9.507374005E8	4110.816467168445	722372.1700253274
9.559469205E8	4096.4799699913965	0.0
9.611564405E8	2873.887185634543	0.0
9.663659605E8	2016.1247331125674	722372.1700253274
9.715754805E8	2088.9872599799264	0.0
9.767850005E8	1862.3701525891358	0.0
9.819945205E8	1113.2921012651923	722372.1700253274
9.872040405E8	1140.7793287474851	0.0
9.924135605E8	850.061264280608	0.0
9.976230805E8	763.3796732007646	722372.1700253274
1.0028326005E9	418.72588227713436	0.0
1.0080421205E9	413.6432771135754	0.0
1.0132516405E9	312.8790362350615	722372.1700253274
1.015976029E9	284.5667358908877	0.0
1.018580789E9	40299.18489479402	0.0
1.0236706805E9	34411.014868254504	722372.1700253274
1.0288802005E9	32983.682972604765	0.0
1.0340897205E9	43316.55025366593	0.0
1.0392992405E9	37523.60156325986	722372.1700253274
1.0445087605E9	26133.010486116782	0.0
1.0497182805E9	30953.85415798847	0.0
1.0549278005E9	24582.681657239704	722372.1700253274
1.0601373205E9	33197.4381557865	0.0
1.0653468405E9	26220.92573799189	0.0
1.0705563605E9	28558.61691741597	722372.1700253274
1.0757658805E9	29922.655325398257	0.0
1.0809754005E9	17499.85490301764	0.0
1.0861849205E9	22776.434459144308	722372.1700253274
1.0913944405E9	17148.12493463321	0.0
1.0966039605E9	18981.763982018812	0.0
1.1018134805E9	16321.461129648442	722372.1700253274
1.1070230005E9	8913.570066356719	0.0
1.1122325205E9	9656.16009847681	0.0
1.1174420405E9	11467.768876142112	722372.1700253274
1.1226515605E9	6709.613162719347	0.0
1.1278610805E9	9752.742463963814	0.0
1.1330706005E9	12320.2473646958	722372.1700253274
1.1382801205E9	8304.30492968138	0.0
1.1434896405E9	11059.784635242986	0.0
1.1486991605E9	8635.454592553398	722372.1700253274
1.1539086805E9	10210.779901350694	0.0
1.1591182005E9	9965.778549296927	0.0
1.1643277205E9	11183.339479668173	722372.1700253274
1.1695372405E9	4528.692899958897	0.0
1.1747467605E9	3467.75364265512	0.0
1.1799562805E9	2421.1500294351445	722372.1700253274
1.1851658005E9	1081.9414672853557	0.0
1.1903753205E9	551.5933497646437	0.0
1.194137444E9	297.9030871500677	722372.1700253274
1.196742204E9	297.68712278216253	0.0
1.199487392E9	298.4211442505568	0.0
1.202092152E9	281.2862542615742	722372.1700253274
1.2043644265E9	396.86203612899556	0.0
1.2069691865E9	276.8831986625801	0.0
1.2088051865E9	293.8708469817501	722372.1700253274
